Id,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7
886329ca181193a5591d17bfe1518926,1,0,1,1,0,1,1
4cfce29d2a33e99609b87113aedcb108,1,1,0,0,1,0,1
224bd3fe0a69acf4afc20589a69a2285,1,0,0,1,0,1,0
7790a149b61dc0ca1c8ab568018f7d9d,0,0,1,0,1,1,0
d9559250c21bdf5b0b2fabfa378b8c31,1,0,0,0,1,0,0
c9f70adae3e1e3f1b59b4676dd09013b,0,0,1,1,1,1,1
4cd9b22c4a2ecf8f395faf32fd676469,0,0,0,1,0,1,0
933c4e333e9140fd619bef5f0cff228e,0,1,0,1,1,0,0
0aae49e44b1484759e647beb906eb96d,1,1,0,0,0,1,1
cdbe3188c4d9122382fdffeb8056064b,1,0,1,1,1,1,0
0dbba6e1305ad70c019104ffee6136ee,0,0,0,0,1,0,1
4575b4a44bc20ac0f0c7d23c69f08bca,0,0,1,1,0,1,1
77e5d0adf8c2d0edaaa5f0ec42981419,1,1,0,0,1,0,1
b039ba7d963923d4ce297497a6a39cec,1,0,1,1,0,1,0
686b2e3ef810de8e623b1c7b41c762d5,0,0,0,1,1,1,0
beb50f718053bb1fa1a20ceed8d67200,1,0,1,0,1,0,0
6b4319cf8ef2c768047a8faf34e179f7,1,0,0,0,1,0,0
2a98fbd6ccac88ae7cfdd75ede2a09f9,1,1,0,0,1,0,0
a4bbc90400f1deee731c5fc8ee750e96,1,0,0,0,1,1,1
4c86093492f6a2d212f6a84a491e7cb3,1,1,0,1,1,0,0
88662fee6080fc6dd892dee1ef7bee5c,0,0,0,0,0,0,1
ba2ba59df22fe36ef858343dcb41fec2,1,1,0,1,1,0,0
87f59bbe76efb3ab3593d16b284c3818,0,1,0,0,1,1,1
de087337862488c44210da89074cc786,1,1,0,0,1,0,0
de1ef4b2d2b8f01391b643fa59ac33ee,1,0,0,1,1,0,0
d8d84be09a2be322953911007a5db8f1,1,1,1,1,1,0,0
8ba4bca7abf244b561a55e8bd8604e61,0,1,1,0,1,1,0
724d022544a22a4f9880b60e951c469b,0,1,0,1,0,1,0
9257f9dd150603bddc9819a61ef64aa5,0,1,0,0,1,1,0
b1d4d5b68a4a242a8a149036f2ef44ac,1,0,1,1,0,1,0
fa04f6f3ab6fd226409e59b6cd24da18,0,1,1,0,1,0,1
a159a936e357f911e8c7c55b5edc7d63,0,1,0,0,0,0,1
e40d9a7cc18c33745d34636faabd8d73,0,0,1,0,1,0,0
1ea837070b00f1ddf8d57816ad6eb6f2,1,1,1,0,1,1,1
eef6ada5ca4686d4b3b097611dc8fc18,0,0,1,1,0,1,0
385736aa939dd591ac23dfc6aa9fc30d,1,1,0,1,0,1,1
c91200425fac12816c9751e09ea55cbb,1,0,1,1,0,0,1
9014688d67621d48ca4c4e0a9b06e93a,0,0,0,1,1,1,1
